epoch,mean,stdv
0,1.0931244348164706,0.0
1,1.232487818540664,0.0
2,2.0792931639472956,0.0
3,2.1239245234416093,0.0
4,2.0346446826847284,0.0
5,1.941769905226568,0.0
6,2.035411016012052,0.0
7,2.455917332540701,0.0
8,2.325953797528233,0.0
9,2.4020400799116794,0.0
10,2.290450368694165,0.0
11,2.2151696445739835,0.0
12,2.164291411378392,0.0
13,2.1234679121650264,0.0
14,2.071236538451773,0.0
15,2.0211412317967414,0.0
16,1.9818515728541033,0.0
17,1.940521288949648,0.0
18,1.8980197605272655,0.0
19,1.8567779551607224,0.0
20,1.8233702291675056,0.0
21,1.7905372874097196,0.0
22,1.7635316988164071,0.0
23,1.7326836972214168,0.0
24,1.7149522976743143,0.0
25,1.691829652089173,0.0
26,1.6738556397676052,0.0
27,1.6531065298264385,0.0
28,1.6352453080450766,0.0
29,1.6332342397582582,0.0
30,1.6187307503738264,0.0
31,1.6020068322142955,0.0
32,1.5848526287752769,0.0
33,1.5810985215178315,0.0
34,1.5692830584903712,0.0
35,1.5531721163634158,0.0
36,1.5383197240803106,0.0
37,1.5232995710669235,0.0
38,1.5104344449548157,0.0
39,1.499740822264052,0.0
40,1.4920452923530878,0.0
41,1.4829097079380162,0.0
42,1.47404441444347,0.0
43,1.466454579374359,0.0
44,1.4589787341340645,0.0
45,1.4495387022053576,0.0
46,1.440807665384586,0.0
47,1.4356388952175825,0.0
48,1.4391536997623902,0.0
49,1.436187722660145,0.0
50,1.4330063162669653,0.0
51,1.4259510542029141,0.0
52,1.4184152019654834,0.0
53,1.4148477681917722,0.0
54,1.4078012298842095,0.0
55,1.4006490863586796,0.0
56,1.3972282315599678,0.0
57,1.3915660831430838,0.0
58,1.3852818693654632,0.0
59,1.3788446325273782,0.0
60,1.3840875075740093,0.0
61,1.3796043416368675,0.0
62,1.3747090626676008,0.0
63,1.3693111376880296,0.0
64,1.3655975028402167,0.0
65,1.3603656110814937,0.0
66,1.3557952976338,0.0
67,1.3517360669213385,0.0
68,1.3530787454718538,0.0
69,1.3510114373189104,0.0
70,1.3471090550889335,0.0
71,1.3485104606048264,0.0
72,1.3472469359314716,0.0
73,1.3525368548235417,0.0
74,1.3594054674099334,0.0
75,1.3592594000935359,0.0
76,1.3584023662385476,0.0
77,1.3545754878658074,0.0
78,1.352412552484856,0.0
79,1.3505674391211981,0.0
80,1.3476813105501124,0.0
81,1.3505577623259266,0.0
82,1.3559021796345763,0.0
83,1.3584572743727203,0.0
84,1.3637341289623544,0.0
85,1.37067563489466,0.0
86,1.3709822152284294,0.0
87,1.3721892984540391,0.0
88,1.372157001319332,0.0
89,1.3768480124111684,0.0
90,1.3801391078710024,0.0
91,1.37738576031766,0.0
92,1.3740610276758192,0.0
93,1.3714190959652655,0.0
94,1.3722394840683636,0.0
95,1.3718305955903167,0.0
96,1.3681172985906551,0.0
97,1.3686284934306863,0.0
98,1.3667541808790808,0.0
99,1.3649583100402363,0.0
100,1.3665717674621578,0.0
101,1.3659212493249855,0.0
102,1.3648095404035547,0.0
103,1.3642755232230395,0.0
104,1.3622098682641852,0.0
105,1.3589190221899219,0.0
106,1.3567424261735825,0.0
107,1.3542941248931692,0.0
108,1.3550293102538336,0.0
109,1.3557358249371843,0.0
110,1.3582069685419644,0.0
111,1.3588810331022494,0.0
112,1.3614222519887014,0.0
113,1.3595809726686097,0.0
114,1.3602290407487003,0.0
115,1.3577986099962265,0.0
116,1.355776444143291,0.0
117,1.3552793972738266,0.0
118,1.3545884868196751,0.0
119,1.3550539679033715,0.0
120,1.352672537655085,0.0
121,1.350291339965795,0.0
122,1.3507831339090284,0.0
123,1.348874711121623,0.0
124,1.3473213152599552,0.0
125,1.3454073796029609,0.0
126,1.3429424053705281,0.0
127,1.3405358907504714,0.0
128,1.340719219899311,0.0
129,1.3418378685998358,0.0
130,1.3421401892515374,0.0
131,1.3411879713323351,0.0
132,1.3423736562193558,0.0
133,1.3428798583462545,0.0
134,1.3405020204043259,0.0
135,1.3387017156150127,0.0
136,1.3366084478497364,0.0
137,1.3357991068473767,0.0
138,1.3348210682077417,0.0
139,1.3330182417235932,0.0
140,1.3310766716276499,0.0
141,1.3292540492729563,0.0
142,1.327945878027468,0.0
143,1.326239052007024,0.0
144,1.3256871706818216,0.0
145,1.3246058640619505,0.0
146,1.3237388577626674,0.0
147,1.3220749045227862,0.0
148,1.321026257586181,0.0
149,1.3209542332526847,0.0
150,1.3196498686591838,0.0
151,1.3179459995414327,0.0
152,1.3170206084747669,0.0
153,1.3166945155509608,0.0
154,1.3177233608298915,0.0
155,1.3180991124319246,0.0
156,1.317809568145849,0.0
157,1.3176458106469375,0.0
158,1.3170467171700846,0.0
159,1.317519109771612,0.0
160,1.316949619217651,0.0
161,1.3156770201894312,0.0
162,1.3140940230775473,0.0
163,1.3130959139408436,0.0
164,1.3116783543311186,0.0
165,1.3113283788148618,0.0
166,1.3101855079726816,0.0
167,1.3091789707912893,0.0
168,1.307699792267758,0.0
169,1.3071189441467115,0.0
170,1.306618853522823,0.0
171,1.3051369275408689,0.0
172,1.304737735218676,0.0
173,1.3034019038651863,0.0
174,1.3020737210020887,0.0
175,1.3007591546862711,0.0
176,1.299502736238503,0.0
177,1.2992883099551658,0.0
178,1.2994650726679289,0.0
179,1.3014207065893413,0.0
180,1.302606035954525,0.0
181,1.3029472797163704,0.0
182,1.302173865957523,0.0
183,1.3010957845765865,0.0
184,1.2996734712620475,0.0
185,1.2994085899394046,0.0
186,1.3005453754364735,0.0
187,1.3008303596897786,0.0
188,1.302668831708945,0.0
189,1.3011953787684254,0.0
190,1.3004409520314522,0.0
191,1.2990409133979084,0.0
192,1.2977645921941652,0.0
193,1.2968245832471954,0.0
194,1.2953966051649108,0.0
195,1.2945550215786927,0.0
196,1.2936938809040028,0.0
197,1.2928157843694195,0.0
198,1.2925352634719764,0.0
199,1.2924165725183687,0.0
