epoch,mean,stdv
0,1.19979658542524,0.0
1,1.729197757804756,0.0
2,2.355549203387457,0.0
3,2.3382413466375396,0.0
4,2.379281784567493,0.0
5,2.411106644478277,0.0
6,2.314473857021669,0.0
7,2.1637011622847697,0.0
8,2.0897336036699072,0.0
9,2.010489569391353,0.0
10,1.9849236727312214,0.0
11,1.9711307007505117,0.0
12,1.9074731869241106,0.0
13,1.867939051952192,0.0
14,1.8408475736100272,0.0
15,1.808175493352602,0.0
16,1.7797012123320999,0.0
17,1.7397004369444644,0.0
18,1.7020073843484134,0.0
19,1.686442655559464,0.0
20,1.6616807128008901,0.0
21,1.6676170477774477,0.0
22,1.6437852351344564,0.0
23,1.6336462204310973,0.0
24,1.6209723088129508,0.0
25,1.6126985308239385,0.0
26,1.6065444365479977,0.0
27,1.6007931457061517,0.0
28,1.5913961636286393,0.0
29,1.5806025591960493,0.0
30,1.5713237248164014,0.0
31,1.5574022961507477,0.0
32,1.5426738464999357,0.0
33,1.534983453682843,0.0
34,1.522557644444689,0.0
35,1.5165590538295297,0.0
36,1.5087166414685385,0.0
37,1.4992351601276175,0.0
38,1.4936151629147538,0.0
39,1.485639652281261,0.0
40,1.4835045914560896,0.0
41,1.4784598889435936,0.0
42,1.4791415612701908,0.0
43,1.4793180070028131,0.0
44,1.4735721435540068,0.0
45,1.4707488545663863,0.0
46,1.467736567047222,0.0
47,1.4697298814229274,0.0
48,1.4696326270127382,0.0
49,1.46227614826333,0.0
50,1.4655406760421275,0.0
51,1.462810822830051,0.0
52,1.4540732873366395,0.0
53,1.4467847829019027,0.0
54,1.4405156495104543,0.0
55,1.4337044783134276,0.0
56,1.4305961765046564,0.0
57,1.4258412920723207,0.0
58,1.4218824325252597,0.0
59,1.4209322248677752,0.0
60,1.4147191633799034,0.0
61,1.4089086201595005,0.0
62,1.4033886431805713,0.0
63,1.3986206574164937,0.0
64,1.3973388047664435,0.0
65,1.3922948494705987,0.0
66,1.38795392463566,0.0
67,1.3855513737363456,0.0
68,1.3854055216905297,0.0
69,1.3891143744138545,0.0
70,1.3903269305843067,0.0
71,1.386466836726861,0.0
72,1.3883012578995446,0.0
73,1.3933757571952423,0.0
74,1.392807746343228,0.0
75,1.390611865774182,0.0
76,1.3873002853104819,0.0
77,1.3841222165519176,0.0
78,1.3813625172586042,0.0
79,1.3772855296290523,0.0
80,1.3740944523795864,0.0
81,1.3710320285759559,0.0
82,1.3681799821298715,0.0
83,1.366978118242946,0.0
84,1.3641027220371866,0.0
85,1.362908630135668,0.0
86,1.3606014000723117,0.0
87,1.3593382859455385,0.0
88,1.357265195292954,0.0
89,1.3543379833078408,0.0
90,1.3529245819606388,0.0
91,1.350684188984762,0.0
92,1.3482713358982894,0.0
93,1.3469093849858218,0.0
94,1.3463913104579261,0.0
95,1.3458648123482557,0.0
96,1.3435848565072857,0.0
