epoch,fid
0,19.230504389324018
1,19.472938374631525
2,13.31356501791339
3,19.505707806093724
4,13.811861802105243
5,14.892275898249826
6,21.45431124524704
7,17.007465975235057
8,18.149149199831125
9,16.122540520713386
10,19.723939110073907
11,16.076752198340944
12,16.865517796850114
13,17.600184723721416
14,17.497376680812494
15,17.614570433298447
16,17.90327964622094
17,16.255415865160664
18,17.053637753745104
19,16.41935982982296
20,18.119349567144518
21,17.32505713180513
22,17.055343476044083
23,15.873413230892925
24,15.84127060189158
25,15.19860913347273
26,16.394547586909745
27,16.898442454723554
28,15.241251176905724
29,15.083110291753268
30,15.374354413788724
31,15.02801165540712
32,15.32268325234314
33,15.390732275166268
34,15.424727023651652
35,16.313235978466288
36,15.890219372645907
37,16.00964425574672
38,16.705640086807108
39,15.922214759566685
40,14.391309188890004
41,14.638239003449852
42,14.929657642998304
43,14.527711929292883
44,14.795531594028159
45,14.854968815990642
46,15.269231569012724
47,14.903936091011001
48,14.536928762636167
49,14.245730990650141
50,15.64140188113668
51,15.91286306822558
52,15.891408135027664
53,15.496237471949321
54,15.822281256701613
55,15.86268074785798
56,16.116897287446292
57,15.394147056509459
58,15.429319203209438
59,14.330653953619638
60,14.339279318295896
61,15.1772256351205
62,14.974605631080609
63,14.859850217227327
64,14.210360310091456
65,14.565426726934994
66,14.555997920183707
67,14.106784236055613
68,14.876787572954152
69,15.254383302486605
70,14.685720013045952
71,14.270389041448185
72,14.905555387874895
73,14.564887282601443
74,15.029961436183424
75,15.29156195876594
76,15.820322854532758
77,15.549951207747146
78,14.361601850353312
79,15.220958003553521
80,15.508246562907765
81,14.741822372742098
82,15.611481501249857
83,14.75843681542697
84,16.670484295680247
85,16.04354343416796
86,16.631421850710833
87,15.847312084241292
88,15.501311154767883
89,16.060630408450244
90,15.802141376093275
91,15.22673659167242
92,15.309284979132883
93,15.343700260958839
94,14.472667853538875
95,14.859681178198073
96,15.170365878612941
97,14.488967724082602
98,15.409869140528082
99,14.937111304929152
100,14.831968721950417
101,14.39790160818064
102,14.624949548296541
103,14.369930853260897
104,14.936814973067023
105,14.714406775252698
106,15.515546539831016
107,15.405047355383383
108,15.891240088297948
109,15.293413361554684
110,14.637823389893304
111,14.761524378884157
112,15.18659346995894
113,15.002175231835537
114,15.009412835550574
115,14.449363565795974
116,15.0051096361322
117,15.734321200779574
118,15.47979521180074
119,16.234676901348713
120,15.719627112453157
121,16.261670435269924
122,17.38051391968723
123,15.788758600435976
124,16.12117060257207
125,16.146656817360913
126,15.155814858314134
127,15.11628126069797
128,14.712528065881985
129,16.179910482290694
130,15.128252361729286
131,15.912390042620519
132,15.892247106401866
133,15.563007373508713
134,14.518804601233054
135,15.340468306985391
136,15.39860132288861
137,16.229521851142614
138,16.036517591771478
139,15.208192289162351
140,17.342452871507863
141,16.782892951554086
142,16.716371900397874
143,16.61560094527371
144,16.624939650646063
145,16.715984798675493
146,14.86299797984875
147,14.993429576423663
148,15.096838220739452
149,14.81970476464439
150,15.254666153524113
151,14.946202243827063
152,15.195739429436852
153,15.96326079053921
154,15.482381764597967
155,14.259093005159158
156,16.512361722733647
157,15.370124059778233
158,14.886428081942212
159,14.896506581080878
160,14.862723709265055
161,14.840847539397071
162,14.277710103129841
163,13.671478415926803
164,13.356755641194258
165,14.348065725755195
166,14.048844467103098
167,13.47175468114666
168,14.123280183089877
169,14.145891938916147
170,14.273229455343875
171,14.052703880291046
172,13.314782768835757
173,14.005344383234993
174,13.859322887627647
175,13.426027792181037
176,13.926815251621203
177,14.788708121676194
178,14.463429852567899
179,14.799460984439543
180,14.123496677368164
181,14.22633931721629
182,14.348716742600168
183,14.86163225538753
184,15.017394694429049
185,14.178678310530525
186,14.378546122469123
187,14.425273671394656
188,15.321190825377409
189,15.700094846954677
190,15.221621334400446
191,15.037286518983066
192,15.879812477833646
193,15.116328483449015
194,14.878697993980635
195,15.015645063003689
196,15.081537283911192
197,14.79091971039437
198,15.508575875790124
199,15.435737678694245
